date,count,total_count,ratio
"2011-01-01","1","6925","0.00014440433213"
"2011-01-02","0","23664","0"
"2011-01-03","6","37050","0.000161943319838"
"2011-01-04","1","13976","7.15512306812e-05"
"2011-01-05","1","14749","6.78012068615e-05"
"2011-01-06","1","15517","6.44454469292e-05"
"2011-01-07","0","14720","0"
"2011-01-08","0","9810","0"
"2011-01-09","0","9319","0"
"2011-01-10","3","13717","0.000218706714296"
"2011-01-11","1","14444","6.92328994738e-05"
"2011-01-12","5","14993","0.000333488961515"
"2011-01-13","1","14857","6.73083395033e-05"
"2011-01-14","3","14656","0.000204694323144"
"2011-01-15","1","9538","0.000104843782764"
"2011-01-16","2","8964","0.000223114680946"
"2011-01-17","0","12188","0"
"2011-01-18","0","14074","0"
"2011-01-19","5","14739","0.000339236040437"
"2011-01-20","4","15208","0.00026301946344"
"2011-01-21","2","14434","0.00013856172925"
"2011-01-22","1","9361","0.000106826193783"
"2011-01-23","5","8613","0.000580517821897"
"2011-01-24","4","13646","0.000293126190825"
"2011-01-25","0","14489","0"
"2011-01-26","1","15516","6.44496004125e-05"
"2011-01-27","0","15186","0"
"2011-01-28","2","14614","0.00013685507048"
"2011-01-29","2","9365","0.000213561131874"
"2011-01-30","0","8553","0"
"2011-01-31","0","13538","0"
"2011-02-01","2","14501","0.000137921522654"
"2011-02-02","1","14906","6.70870790286e-05"
"2011-02-03","1","9957","0.000100431856985"
"2011-02-04","0","13712","0"
"2011-02-05","0","8479","0"
"2011-02-06","0","8950","0"
"2011-02-07","0","13049","0"
"2011-02-08","0","13982","0"
"2011-02-09","0","14638","0"
"2011-02-10","1","15038","6.64982045485e-05"
"2011-02-11","1","14726","6.7907103083e-05"
"2011-02-12","0","9338","0"
"2011-02-13","0","8716","0"
"2011-02-14","0","13745","0"
"2011-02-15","1","14645","6.8282690338e-05"
"2011-02-16","0","15311","0"
"2011-02-17","0","15127","0"
"2011-02-18","1","14651","6.82547266398e-05"
"2011-02-19","1","8955","0.000111669458403"
"2011-02-20","0","8474","0"
"2011-02-21","1","11895","8.4068936528e-05"
"2011-02-22","2","12994","0.00015391719255"
"2011-02-23","0","12789","0"
"2011-02-24","1","16327","6.12482391131e-05"
"2011-02-25","0","14641","0"
"2011-02-26","0","9486","0"
"2011-02-27","0","8927","0"
"2011-02-28","1","14396","6.94637399278e-05"
"2011-03-01","0","14657","0"
"2011-03-02","1","15083","6.62998077306e-05"
"2011-03-03","1","15703","6.3682098962e-05"
"2011-03-04","0","14689","0"
"2011-03-05","0","9524","0"
"2011-03-06","1","8937","0.000111894371713"
"2011-03-07","0","12684","0"
"2011-03-08","0","14366","0"
"2011-03-09","1","15116","6.61550674782e-05"
"2011-03-10","1","15499","6.45202916317e-05"
"2011-03-11","2","14946","0.000133815067577"
"2011-03-12","1","9943","0.000100573267625"
"2011-03-13","0","9245","0"
"2011-03-14","5","14303","0.000349577011816"
"2011-03-15","1","14930","6.69792364367e-05"
"2011-03-16","2","15876","0.000125976316453"
"2011-03-17","0","15774","0"
"2011-03-18","0","15080","0"
"2011-03-19","0","10034","0"
"2011-03-20","1","9344","0.000107020547945"
"2011-03-21","0","14975","0"
"2011-03-22","1","15011","6.66178136034e-05"
"2011-03-23","1","16016","6.24375624376e-05"
"2011-03-24","2","16138","0.000123931094312"
"2011-03-25","0","15190","0"
"2011-03-26","0","9774","0"
"2011-03-27","0","9216","0"
"2011-03-28","1","15125","6.61157024793e-05"
"2011-03-29","3","15031","0.000199587519127"
"2011-03-30","1","15769","6.3415562179e-05"
"2011-03-31","0","15682","0"
"2011-04-01","2","15190","0.000131665569454"
"2011-04-02","1","9876","0.000101255569056"
"2011-04-03","0","9060","0"
"2011-04-04","0","15053","0"
"2011-04-05","1","14908","6.70780788838e-05"
"2011-04-06","0","16175","0"
"2011-04-07","0","10353","0"
"2011-04-08","0","15647","0"
"2011-04-09","0","9634","0"
"2011-04-10","1","9080","0.00011013215859"
"2011-04-11","0","14929","0"
"2011-04-12","1","14997","6.66800026672e-05"
"2011-04-13","0","15710","0"
"2011-04-14","0","15444","0"
"2011-04-15","0","15347","0"
"2011-04-16","0","9627","0"
"2011-04-17","0","8784","0"
"2011-04-18","16","14456","0.0011068068622"
"2011-04-19","0","14873","0"
"2011-04-20","2","15836","0.000126294518818"
"2011-04-21","0","16007","0"
"2011-04-22","2","14098","0.000141864094198"
"2011-04-23","0","9232","0"
"2011-04-24","1","8248","0.000121241513094"
"2011-04-25","1","13928","7.17978173464e-05"
"2011-04-26","1","15414","6.48760866745e-05"
"2011-04-27","1","16121","6.20308913839e-05"
"2011-04-28","0","16068","0"
"2011-04-29","1","15391","6.497303619e-05"
"2011-04-30","3","10118","0.000296501284839"
"2011-05-01","0","9188","0"
"2011-05-02","0","15251","0"
"2011-05-03","1","15065","6.63790242283e-05"
"2011-05-04","0","16108","0"
"2011-05-05","0","16257","0"
"2011-05-06","1","14920","6.70241286863e-05"
"2011-05-07","3","9442","0.000317729294641"
"2011-05-08","1","8791","0.000113752701627"
"2011-05-09","2","14402","0.000138869601444"
"2011-05-10","7","15254","0.000458896027272"
"2011-05-11","13","15882","0.000818536708223"
"2011-05-12","0","16164","0"
"2011-05-13","0","15507","0"
"2011-05-14","0","9094","0"
"2011-05-15","0","8892","0"
"2011-05-16","5","14610","0.000342231348392"
"2011-05-17","2","14974","0.000133564845733"
"2011-05-18","2","15226","0.000131354262446"
"2011-05-19","5","16024","0.000312031952072"
"2011-05-20","3","15217","0.000197147926661"
"2011-05-21","1","9196","0.000108742931709"
"2011-05-22","2","8877","0.000225301340543"
"2011-05-23","0","14087","0"
"2011-05-24","2","14543","0.000137523207041"
"2011-05-25","3","15558","0.000192826841496"
"2011-05-26","3","15522","0.000193274062621"
"2011-05-27","2","14176","0.000141083521445"
"2011-05-28","5","9111","0.000548787180331"
"2011-05-29","4","8420","0.000475059382423"
"2011-05-30","0","9194","0"
"2011-05-31","1","13369","7.47999102401e-05"
"2011-06-01","2","15442","0.000129516901956"
"2011-06-02","2","15806","0.000126534227509"
"2011-06-03","1","14937","6.69478476267e-05"
"2011-06-04","0","9469","0"
"2011-06-05","1","8711","0.00011479738262"
"2011-06-06","2","14216","0.000140686550366"
"2011-06-07","0","15090","0"
"2011-06-08","0","15407","0"
"2011-06-09","1","15225","6.56814449918e-05"
"2011-06-10","0","14761","0"
"2011-06-11","1","8944","0.000111806797853"
"2011-06-12","2","8887","0.000225047822662"
"2011-06-13","2","13698","0.000146006716309"
"2011-06-14","1","8715","0.000114744693058"
"2011-06-15","2","9742","0.000205296653665"
"2011-06-16","4","16223","0.000246563520927"
"2011-06-17","0","14699","0"
"2011-06-18","1","8958","0.000111632060728"
"2011-06-19","1","8379","0.000119345984008"
"2011-06-20","0","13306","0"
"2011-06-21","0","14415","0"
"2011-06-22","1","15200","6.57894736842e-05"
"2011-06-23","2","15157","0.000131952233292"
"2011-06-24","0","14539","0"
"2011-06-25","2","8950","0.000223463687151"
"2011-06-26","2","8052","0.000248385494287"
"2011-06-27","7","13479","0.000519326359522"
"2011-06-28","4","14201","0.000281670304908"
"2011-06-29","0","14940","0"
"2011-06-30","1","14594","6.85213101274e-05"
"2011-07-01","0","14223","0"
"2011-07-02","0","8348","0"
"2011-07-03","2","7783","0.000256970319928"
"2011-07-04","0","8903","0"
"2011-07-05","0","12477","0"
"2011-07-06","10","14488","0.000690226394257"
"2011-07-07","5","14412","0.000346933111296"
"2011-07-08","0","14050","0"
"2011-07-09","0","8659","0"
"2011-07-10","0","8386","0"
"2011-07-11","0","13202","0"
"2011-07-12","2","13747","0.000145486287917"
"2011-07-13","0","14353","0"
"2011-07-14","1","14470","6.91085003455e-05"
"2011-07-15","0","13969","0"
"2011-07-16","4","8252","0.000484730974309"
"2011-07-17","1","6607","0.000151354623884"
"2011-07-18","1","9597","0.000104199228926"
"2011-07-19","1","14228","7.02839471465e-05"
"2011-07-20","4","14699","0.000272127355602"
"2011-07-21","3","14497","0.000206939366766"
"2011-07-22","4","13746","0.000290993743635"
"2011-07-23","1","8709","0.000114823745551"
"2011-07-24","0","8114","0"
"2011-07-25","2","13087","0.000152823412547"
"2011-07-26","0","14220","0"
"2011-07-27","2","14531","0.000137636776547"
"2011-07-28","1","15223","6.56900742298e-05"
"2011-07-29","0","14317","0"
"2011-07-30","1","8869","0.000112752283234"
"2011-07-31","1","7906","0.000126486213003"
"2011-08-01","0","13624","0"
"2011-08-02","1","13765","7.26480203414e-05"
"2011-08-03","0","14452","0"
"2011-08-04","1","14523","6.88562969084e-05"
"2011-08-05","1","14041","7.12199985756e-05"
"2011-08-06","0","8649","0"
"2011-08-07","1","8050","0.000124223602484"
"2011-08-08","10","13404","0.000746045956431"
"2011-08-09","2","13985","0.000143010368252"
"2011-08-10","2","14084","0.000142005112184"
"2011-08-11","0","14618","0"
"2011-08-12","1","13949","7.16897268621e-05"
"2011-08-13","0","9008","0"
"2011-08-14","0","8228","0"
"2011-08-15","0","13427","0"
"2011-08-16","1","13860","7.21500721501e-05"
"2011-08-17","0","14276","0"
"2011-08-18","1","13896","7.19631548647e-05"
"2011-08-19","9","13386","0.000672344240251"
"2011-08-20","1","7950","0.000125786163522"
"2011-08-21","1","7608","0.000131440588854"
"2011-08-22","1","12418","8.05282654212e-05"
"2011-08-23","0","13075","0"
"2011-08-24","0","13341","0"
"2011-08-25","2","14096","0.000141884222474"
"2011-08-26","0","13042","0"
"2011-08-27","2","8342","0.000239750659314"
"2011-08-28","0","7663","0"
"2011-08-29","0","12066","0"
"2011-08-30","0","13022","0"
"2011-08-31","0","13254","0"
"2011-09-01","3","13689","0.000219154065308"
"2011-09-02","0","13643","0"
"2011-09-03","0","8517","0"
"2011-09-04","0","7821","0"
"2011-09-05","0","8926","0"
"2011-09-06","1","12582","7.94786202512e-05"
"2011-09-07","0","14045","0"
"2011-09-08","0","14580","0"
"2011-09-09","1","14191","7.04671975196e-05"
"2011-09-10","1","8833","0.000113211819314"
"2011-09-11","0","8645","0"
"2011-09-12","0","13332","0"
"2011-09-13","1","14148","7.06813683913e-05"
"2011-09-14","0","14218","0"
"2011-09-15","0","14303","0"
"2011-09-16","1","13936","7.17566016073e-05"
"2011-09-17","0","8748","0"
"2011-09-18","0","8558","0"
"2011-09-19","1","13542","7.38443361394e-05"
"2011-09-20","3","14246","0.000210585427488"
"2011-09-21","1","14770","6.77048070413e-05"
"2011-09-22","1","14786","6.76315433518e-05"
"2011-09-23","0","14474","0"
"2011-09-24","0","9382","0"
"2011-09-25","0","8689","0"
"2011-09-26","5","13704","0.000364856976065"
"2011-09-27","4","13888","0.00028801843318"
"2011-09-28","1","14515","6.88942473303e-05"
"2011-09-29","8","14473","0.000552753402888"
"2011-09-30","3","14156","0.000211924272393"
"2011-10-01","0","8967","0"
"2011-10-02","1","8517","0.000117412234355"
"2011-10-03","3","14014","0.000214071642643"
"2011-10-04","3","14134","0.000212254138956"
"2011-10-05","2","14210","0.000140745953554"
"2011-10-06","1","14916","6.70421024403e-05"
"2011-10-07","1","13951","7.16794495018e-05"
"2011-10-08","0","9073","0"
"2011-10-09","12","8420","0.00142517814727"
"2011-10-10","1","13023","7.67872226062e-05"
"2011-10-11","0","13672","0"
"2011-10-12","1","14395","6.94685654741e-05"
"2011-10-13","1","15175","6.58978583196e-05"
"2011-10-14","0","14791","0"
"2011-10-15","0","8877","0"
"2011-10-16","0","8616","0"
"2011-10-17","0","13990","0"
"2011-10-18","0","14245","0"
"2011-10-19","1","14889","6.7163677883e-05"
"2011-10-20","2","13312","0.000150240384615"
"2011-10-21","1","10367","9.64599209029e-05"
"2011-10-22","2","7704","0.000259605399792"
"2011-10-23","1","7724","0.000129466597618"
"2011-10-24","0","13945","0"
"2011-10-25","2","14679","0.000136249063288"
"2011-10-26","0","14859","0"
"2011-10-27","1","9364","0.000106791969244"
"2011-10-28","11","12879","0.00085410357947"
"2011-10-29","1","8571","0.000116672500292"
"2011-10-30","0","8409","0"
"2011-10-31","3","12834","0.000233754090697"
"2011-11-01","2","11301","0.000176975488895"
"2011-11-02","0","12137","0"
"2011-11-03","0","13704","0"
"2011-11-04","1","14012","7.1367399372e-05"
"2011-11-05","0","4223","0"
"2011-11-06","1","6109","0.000163692912097"
"2011-11-07","0","13841","0"
"2011-11-08","1","13771","7.26163677293e-05"
"2011-11-09","1","15003","6.66533359995e-05"
"2011-11-10","0","14531","0"
"2011-11-11","0","13581","0"
"2011-11-12","0","7163","0"
"2011-11-13","2","8861","0.00022570815935"
"2011-11-14","1","13764","7.26532984598e-05"
"2011-11-15","0","6686","0"
"2011-11-16","0","6411","0"
"2011-11-17","4","14285","0.0002800140007"
"2011-11-18","1","14309","6.98860856803e-05"
"2011-11-19","3","9002","0.000333259275717"
"2011-11-20","1","7927","0.000126151129053"
"2011-11-21","6","12930","0.00046403712297"
"2011-11-22","1","12664","7.89639924195e-05"
"2011-11-23","1","13272","7.53465943339e-05"
"2011-11-24","1","8583","0.000116509379005"
"2011-11-25","0","9126","0"
"2011-11-26","2","7346","0.000272257010618"
"2011-11-27","0","4789","0"
"2011-11-28","1","7518","0.000133014099495"
"2011-11-29","0","6429","0"
"2011-11-30","2","8614","0.000232180171813"
"2011-12-01","4","9969","0.000401243855953"
"2011-12-02","3","12253","0.000244837998857"
"2011-12-03","0","7847","0"
"2011-12-04","1","6664","0.00015006002401"
"2011-12-05","1","12097","8.26651235844e-05"
"2011-12-06","3","12304","0.000243823146944"
"2011-12-07","1","12629","7.91828331618e-05"
"2011-12-08","1","12817","7.80213778575e-05"
"2011-12-09","1","12279","8.14398566659e-05"
"2011-12-10","0","7621","0"
"2011-12-11","2","7267","0.000275216733177"
"2011-12-12","3","12027","0.000249438762784"
"2011-12-13","1","11981","8.34654870211e-05"
"2011-12-14","0","12521","0"
"2011-12-15","1","13078","7.6464291176e-05"
"2011-12-16","1","12149","8.23113013417e-05"
"2011-12-17","0","7476","0"
"2011-12-18","1","6726","0.000148676776687"
"2011-12-19","0","11266","0"
"2011-12-20","2","11767","0.000169966856463"
"2011-12-21","0","11868","0"
"2011-12-22","2","12043","0.00016607157685"
"2011-12-23","1","10870","9.19963201472e-05"
"2011-12-24","0","6550","0"
"2011-12-25","1","5017","0.000199322304166"
"2011-12-26","0","6413","0"
"2011-12-27","0","10328","0"
"2011-12-28","0","12265","0"
