"","year","state_abb","deaths","populations","rate_pmil","articles"
"114","2013","HI",161,1352720,119.019457093855,1
"115","2013","ID",304,1533351,198.258585281517,NA
"116","2013","IL",1310,12432447,105.369441751893,26
"117","2013","IN",932,6122822,152.217392568329,1
"118","2013","IA",428,2884447,148.381994884981,36
"119","2013","KS",409,2665249,153.456581355063,NA
"120","2013","KY",688,4122863,166.874329804313,5
"121","2013","LA",574,4498431,127.600045438065,11
"122","2013","ME",243,1278933,190.002134591882,NA
"123","2013","MD",558,5684038,98.1696462972274,51
"124","2013","MA",557,6133261,90.8162884312277,20
"125","2013","MI",1274,9656149,131.936655078541,9
"126","2013","MN",662,5077344,130.383129447207,45
"127","2013","MS",384,2939178,130.648773228433,NA
"128","2013","MO",956,5935668,161.060221023143,25
"129","2013","MT",230,959659,239.668465569541,NA
"130","2013","NE",208,1694611,122.74203342242,NA
"131","2013","NV",523,2453337,213.179029216125,13
"132","2013","NH",179,1260482,142.009167921478,NA
"133","2013","NJ",747,8400662,88.9215635624907,12
"134","2013","NM",411,1864559,220.427457645481,4
"135","2013","NY",1680,19430545,86.4618053688149,87
"136","2013","NC",1256,9404950,133.546696154684,3
"137","2013","ND",120,676329,177.428440891933,NA
"138","2013","OH",1523,11403393,133.556740524509,25
"139","2013","OK",656,3592633,182.595884411238,23
"140","2013","OR",672,3636726,184.781586514904,10
"141","2013","PA",1778,12503368,142.201685177946,12
"142","2013","RI",125,913178,136.88459424121,NA
"143","2013","SC",680,3943592,172.431630858365,5
"144","2013","SD",137,773920,177.020880711185,NA
"145","2013","TN",1014,5743334,176.552504172663,4
"146","2013","TX",3050,26151549,116.627890760888,19
"147","2013","UT",569,2773717,205.13988990225,17
"148","2013","VT",109,604251,180.388613341145,NA
"149","2013","VA",1063,7919412,134.227137065227,2
"150","2013","WA",1008,6733636,149.696241376873,28
"151","2013","WV",317,1758444,180.273014096554,NA
"152","2013","WI",829,5308246,156.172114103227,4
"153","2013","WY",127,546718,232.295260079236,NA
"154","2014","AL",712,4737506,150.290047126062,3
"155","2014","AK",149,580054,256.872635995959,1
"156","2014","AZ",1229,6420286,191.424494173624,NA
"157","2014","AR",505,2628095,192.154393201159,3
"158","2014","CA",4205,38802500,108.369306101411,201
"159","2014","CO",1070,5124544,208.799065829077,20
"160","2014","CT",366,3171634,115.397930530446,8
"161","2014","DE",118,672852,175.372890323578,NA
"162","2014","DC",38,297678,127.65471415422,43
"163","2014","FL",3018,19444983,155.207129777383,33
"164","2014","GA",1279,9823292,130.20075143852,22
"165","2014","HI",202,1365703,147.909172052782,1
"166","2014","ID",312,1552607,200.952333719995,NA
"167","2014","IL",1395,12792243,109.050461283451,12
"168","2014","IN",930,6068279,153.255972574761,NA
"169","2014","IA",398,2888971,137.765315055084,34
"170","2014","KS",441,2669866,165.176829099288,NA
"171","2014","KY",717,4135256,173.387088973452,4
"172","2014","LA",669,4518867,148.045959307942,3
"173","2014","ME",216,1278430,168.95723661053,NA
"174","2014","MD",594,5721967,103.810455390603,21
"175","2014","MA",588,6162095,95.4220926486852,22
"176","2014","MI",1341,9554899,140.34685243664,10
"177","2014","MN",666,5100636,130.571952203608,25
"178","2014","MS",369,2339550,157.722638969033,NA
"179","2014","MO",1009,5885917,171.426134619296,33
"180","2014","MT",244,966635,252.422062102034,NA
"181","2014","NE",239,1701738,140.444651291797,1
"182","2014","NV",556,2489336,223.352733419675,4
"183","2014","NH",244,1261412,193.434024727845,NA
"184","2014","NJ",784,8875654,88.3315190069374,9
"185","2014","NM",428,1861853,229.878513502409,6
"186","2014","NY",1688,19523101,86.4616743006144,103
"187","2014","NC",1345,9707669,138.550253413049,2
"188","2014","ND",128,667148,191.861476014318,NA
"189","2014","OH",1482,11419187,129.781568512715,30
"190","2014","OK",721,3611636,199.632521106778,23
"191","2014","OR",766,3668026,208.831671313126,8
"192","2014","PA",1812,12735022,142.284795424774,28
"193","2014","RI",103,911548,112.994598199985,1
"194","2014","SC",740,3989860,185.470166873023,6
"195","2014","SD",132,780423,169.139043826233,NA
"196","2014","TN",989,6390664,154.757001776341,1
"197","2014","TX",3240,26654201,121.556823256492,28
"198","2014","UT",537,2730417,196.673255403845,31
"199","2014","VT",122,602857,202.369716201355,NA
"200","2014","VA",1117,8275142,134.982577942469,8
"201","2014","WA",1107,6896282,160.521277987182,36
"202","2014","WV",352,1752941,200.805389342824,NA
"203","2014","WI",743,5312457,139.859955572346,8
"204","2014","WY",117,548511,213.30474685102,NA
"205","2015","AL",739,4036535,183.07781302528,3
"206","2015","AK",189,640446,295.106847415707,NA
"207","2015","AZ",1262,6504046,194.033068031807,3
"208","2015","AR",567,2634849,215.19259737465,3
"209","2015","CA",4159,38762359,107.294811443235,166
"210","2015","CO",1067,5107630,208.903150776387,16
"211","2015","CT",368,3157778,116.537641341475,7
"212","2015","DE",111,781721,141.994394419492,NA
"213","2015","DC",29,302639,95.8237371918358,42
"214","2015","FL",3192,20158625,158.344133094395,29
"215","2015","GA",1317,10157410,129.659037097055,31
"216","2015","HI",193,1374952,140.368536501638,NA
"217","2015","ID",346,1570040,220.3765509159,NA
"218","2015","IL",1360,12771376,106.488134089858,18
"219","2015","IN",949,6077083,156.160447372531,NA
"220","2015","IA",421,2895570,145.394516450992,6
"221","2015","KS",456,2673273,170.577415774595,NA
"222","2015","KY",769,4141479,185.682457885214,4
"223","2015","LA",711,4536374,156.733108866244,12
"224","2015","ME",231,1276636,180.944294223255,NA
"225","2015","MD",549,5744856,95.5637530340186,12
"226","2015","MA",628,6190552,101.44491153616,24
"227","2015","MI",1391,9552726,145.612885787785,30
"228","2015","MN",721,5267899,136.866709099776,29
"229","2015","MS",428,2937596,145.697366145651,NA
"230","2015","MO",1032,5899119,174.941376839491,9
"231","2015","MT",265,974810,271.847847272802,NA
"232","2015","NE",213,1709900,124.568688227382,1
"233","2015","NV",543,2685497,202.197209678506,11
"234","2015","NH",225,1263680,178.051405419093,NA
"235","2015","NJ",786,8894763,88.3666040343065,28
"236","2015","NM",488,1977279,246.803814737323,3
"237","2015","NY",1647,19571450,84.1531925330009,88
"238","2015","NC",1398,9796446,142.70481356198,5
"239","2015","ND",112,678936,164.964002498026,1
"240","2015","OH",1643,11431152,143.730045755668,23
"241","2015","OK",777,3636695,213.65553063977,16
"242","2015","OR",740,3773911,196.08305548276,7
"243","2015","PA",1890,12748906,148.248014378646,32
"244","2015","RI",113,908987,124.314209114102,NA
"245","2015","SC",733,4820105,152.071376038489,3
"246","2015","SD",166,825516,201.086350839959,NA
"247","2015","TN",1047,5821550,179.849009284469,NA
"248","2015","TX",3390,27159372,124.818791833626,21
"249","2015","UT",611,2800982,218.137781677997,35
"250","2015","VT",101,601224,167.990632443149,NA
"251","2015","VA",1109,8332082,133.099986293942,3
"252","2015","WA",1128,7089311,159.112782610327,25
"253","2015","WV",333,1745625,190.762620837809,NA
"254","2015","WI",852,5315957,160.272176768924,9
"255","2015","WY",153,550547,277.90542860101,NA
"256","2016","AL",779,4037615,192.93568108896,5
"257","2016","AK",185,673409,274.721603067378,NA
"258","2016","AZ",1253,6598758,189.884217605798,13
"259","2016","AR",546,2895853,188.545482108381,12
"260","2016","CA",4277,39250017,108.968105669865,248
"261","2016","CO",1149,5237955,219.3604183312,13
"262","2016","CT",382,3139821,121.662986520569,12
"263","2016","DE",117,785253,148.996565438145,1
"264","2016","DC",33,306789,107.565786257004,37
"265","2016","FL",3129,20497973,152.649240000462,51
"266","2016","GA",1402,10251827,136.756111861817,56
"267","2016","HI",167,1378591,121.138176587545,9
"268","2016","ID",337,1596443,211.094288991214,7
"269","2016","IL",1412,12712805,111.069114959287,33
"270","2016","IN",1029,6518284,157.86363404847,3
"271","2016","IA",427,2894851,147.503273916343,26
"272","2016","KS",489,2667965,183.285762744264,5
"273","2016","KY",748,4347747,172.043129464525,12
"274","2016","LA",664,4547587,146.011500164813,8
"275","2016","ME",214,1277480,167.517299683752,1
"276","2016","MD",576,5751708,100.14416587212,30
"277","2016","MA",616,6195965,99.4195415887598,27
"278","2016","MI",1349,9667365,139.541643457136,23
"279","2016","MN",732,5141876,142.360492551746,31
"280","2016","MS",373,2328335,160.200314817241,1
"281","2016","MO",1119,5975695,187.258553189211,21
"282","2016","MT",263,983952,267.289461274534,3
"283","2016","NE",236,1771177,133.244729352289,NA
"284","2016","NV",634,2726324,232.547562211975,19
"285","2016","NH",240,1266167,189.548456088336,NA
"286","2016","NJ",676,8146115,82.9843428431835,39
"287","2016","NM",462,1975280,233.890891417926,9
"288","2016","NY",1670,19519630,85.5549003746485,108
"289","2016","NC",1350,9807844,137.64492991528,28
"290","2016","ND",136,696729,195.197845934359,3
"291","2016","OH",1696,11426085,148.432293300811,61
"292","2016","OK",807,3645434,221.372818709652,32
"293","2016","OR",743,3771600,196.998621274791,13
"294","2016","PA",1956,12483780,156.683312265996,35
"295","2016","RI",121,906089,133.540965622582,NA
"296","2016","SC",807,4839732,166.74477016496,12
"297","2016","SD",160,829770,192.824517637418,NA
"298","2016","TN",1105,6547240,168.773406809587,NA
"299","2016","TX",3467,27549089,125.848081582661,58
"300","2016","UT",595,2822315,210.819841158765,26
"301","2016","VT",114,598811,190.377264278712,1
"302","2016","VA",1160,8360912,138.740845496281,24
"303","2016","WA",1121,7029199,159.477630381499,99
"304","2016","WV",350,1733549,201.897956158147,NA
"305","2016","WI",841,5354650,157.059751804506,34
"306","2016","WY",139,550665,252.422071495374,1
